fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
516160.SH,南方中证新能源ETF,20240913,20240912,-634166.2,-0.6896631149986993,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561370.SH,国泰中证2000ETF,20240913,20240912,-4200.0,-0.5969640115981579,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515590.SH,前海开源中证500等权重ETF,20240919,20240918,2400.0,0.995284838079598,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
513320.SH,易方达恒生港股通新经济ETF,20240924,20240923,4300.0,2.0465860089669023,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159777.SZ,国联安创业板科技ETF,20240927,20240926,-1800.0000000000002,-0.5101959109781831,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588500.SH,易方达上证科创板100增强策略ETF,20240927,20240926,5100.0,2.595816155138189,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
513590.SH,鹏华中证港股通消费主题ETF,20240930,20240927,14969.999200000002,1.0120410035499183,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588310.SH,方正富邦中证科创创业50ETF,20240930,20240927,6719.999900000001,1.008441178015382,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588500.SH,易方达上证科创板100增强策略ETF,20240930,20240927,37200.0,5.265616374368339,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159773.SZ,华泰柏瑞创业板科技ETF,20241008,20240930,51360.0,4.241013774046449,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159777.SZ,国联安创业板科技ETF,20241008,20240930,57600.0,19.02210213052497,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159821.SZ,中银证券创业板ETF,20241008,20240930,5170.0,2.4479166666666665,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588010.SH,博时上证科创板新材料ETF,20241008,20240930,127749.9962,6.0710223332935,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588190.SH,银华上证科创板100ETF,20241008,20240930,382799.9988,1.0277563141616213,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588680.SH,广发上证科创板100增强策略ETF,20241008,20240930,5400.0,1.011975037949064,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588830.SH,鹏华上证科创板新能源ETF,20241008,20240930,25900.0,4.1876927106660045,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159567.SZ,银华国证港股通创新药ETF,20241009,20241008,20000.0,1.0237255406567145,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159991.SZ,招商创业板大盘ETF,20241009,20241008,43400.00000000001,0.9707800310601296,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159717.SZ,鹏华国证ESG300ETF,20241010,20241009,12750.0,2.2030929247489293,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
563330.SH,华泰柏瑞中证A股ETF,20241011,20241010,-8766.04,-0.6670197304844736,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159787.SZ,易方达中证全指建筑材料ETF,20241015,20241014,6250.0,2.548769896360491,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
516300.SH,华泰柏瑞中证1000ETF,20241025,20241024,-11658.96,-0.5783151175929628,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562060.SH,华宝标普中国A股红利机会ETF,20241105,20241104,59450.0,2.231637601573295,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159533.SZ,博时中证2000ETF,20241118,20241115,3300.0,3.1552422198180765,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
159533.SZ,博时中证2000ETF,20241205,20241204,-900.0,-0.5468204366239671,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
560900.SH,摩根中证创新药产业ETF,20241219,20241218,-5000.0,-0.5619928716824156,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
520890.SH,华泰柏瑞恒生港股通高股息低波动ETF,20241227,20241226,11150.0,3.184986288848263,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159333.SZ,万家中证港股通央企红利ETF,20241230,20241227,26600.0,2.128803240038532,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159303.SZ,大成恒生医疗保健ETF(QDII),20250207,20250206,6500.0,2.097336211997196,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159712.SZ,国泰中证港股通50ETF,20250217,20250214,18000.0,3.847895841221965,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159712.SZ,国泰中证港股通50ETF,20250224,20250221,-7899.999999999999,-0.7196288413138516,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
510100.SH,易方达上证50ETF,20250307,20250306,-148061.31,-0.5039150064976416,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
511030.SH,平安中债-中高等级公司债利差因子ETF,20250318,20250317,-96282.64,-0.9000000093474796,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588790.SH,博时上证科创板人工智能ETF,20250318,20250317,199269.2,0.9866316250200524,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159370.SZ,工银瑞信创业板50ETF,20250407,20250403,3900.000000000001,2.2522510816435823,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159712.SZ,国泰中证港股通50ETF,20250423,20250422,6899.999999999999,2.042700553154428,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159712.SZ,国泰中证港股通50ETF,20250424,20250423,-5799.999999999999,-0.5643186402629499,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
512810.SH,华宝中证军工ETF,20250620,20250619,51179.18000000001,1.0000001953919926,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560520.SH,大成中证红利低波动100ETF,20250701,20250630,-600.0,-0.6153215054866168,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159211.SZ,富国深证100ETF,20250704,20250703,12000.0,8.769818144666043,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
512800.SH,华宝中证银行ETF,20250704,20250703,692233.99,0.9905556827515548,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560820.SH,新华中证A50ETF,20250711,20250710,-3000.0000000000005,-0.6008893161879583,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159380.SZ,东财中证A500ETF,20250716,20250715,-46499.99999999999,-0.5504233106227531,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
516750.SH,富国中证全指建筑材料ETF,20250721,20250718,45300.0,5.947434135120978,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159366.SZ,永赢中证港股通医疗主题ETF,20250728,20250725,7399.999999999999,1.009094505136782,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
512000.SH,华宝中证全指证券公司ETF,20250801,20250731,2157721.77,1.0031521076463172,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159391.SZ,博时国证大盘价值ETF,20250804,20250801,4500.0,3.4413146494929263,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562060.SH,华宝标普中国A股红利机会ETF,20250808,20250807,139189.63,1.0021599884743015,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562080.SH,华宝沪深300自由现金流ETF,20250808,20250807,165100.0,2.470156884137224,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159219.SZ,融通深证100ETF,20250814,20250813,4000.0,3.850590170328931,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588070.SH,万家上证科创板成长ETF,20250818,20250815,7000.000000000001,3.119846681820208,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
513770.SH,华宝中证港股通互联网ETF,20250829,20250828,790406.9,1.0235688262247955,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515000.SH,华宝中证科技龙头ETF,20250905,20250904,173628.96,0.9763817447742064,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
516800.SH,华宝中证智能制造主题ETF,20250905,20250904,11315.4,1.0,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
563830.SH,博时中证全指自由现金流ETF,20250910,20250909,12200.0,7.674886763965778,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515260.SH,华宝中证电子50ETF,20250912,20250911,39828.42,1.025754331492242,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
589100.SH,国泰上证科创板芯片ETF,20250912,20250911,22800.0,2.308229648602407,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560950.SH,汇添富中证500增强策略ETF,20250923,20250922,-2200.0,-0.5059448520111308,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588270.SH,易方达上证科创板200ETF,20250923,20250922,5100.0,0.9730967372638808,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560780.SH,广发中证半导体材料设备主题ETF,20250924,20250923,26600.0,1.0018983336848766,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159219.SZ,融通深证100ETF,20250929,20250926,2200.0,2.117824593680912,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159239.SZ,富国恒生港股通汽车主题ETF,20250929,20250926,7250.0,1.0100200537043682,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515980.SH,华富中证人工智能产业ETF,20250929,20250926,429256.45,0.9993016051790168,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
