fund_code,announcement_date,event_date,title,content,source_url
159685.SZ,20230403,,天弘基金管理有限公司关于天弘中证1000增强策略交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-04-03/1216296534.PDF
513320.SH,20230403,,关于旗下部分基金2023年4月7日至2023年4月10日因港股通非交易日及境外主要投资市场节假日暂停申购、赎回、转换、定期定额投资业务的提示性公告,基金运作(基金) ETF申购赎回,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-03/513320_20230403_6159.pdf
513120.SH,20230404,,关于广发中证香港创新药交易型开放式指数证券投资基金（QDII）暂停申购与赎回业务的公告,基金运作(基金) ETF申购赎回,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-04/513120_20230404_PBSP.pdf
516730.SH,20230404,,浦银安盛基金管理有限公司关于基金行业高级管理人员变更公告,基金管理人公告(基金) 基金管理人情况发生变更,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-04/516730_20230404_FQ2M.pdf
562960.SH,20230404,,易方达中证绿色电力交易型开放式指数证券投资基金基金合同生效公告,募集(基金) 基金合同生效,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-04/562960_20230404_V1FP.pdf
159685.SZ,20230405,,天弘中证1000增强策略交易型开放式指数证券投资基金招募说明书（更新）,,https://static.cninfo.com.cn/finalpage/2023-04-05/1216331502.PDF
159685.SZ,20230406,,天弘基金管理有限公司关于天弘中证1000增强策略交易型开放式指数证券投资基金新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-04-06/1216326880.PDF
516730.SH,20230407,,浦银安盛基金管理有限公司关于旗下部分基金新增东海证券为一级交易商代理机构的公告,临时报告(基金) 代办券商变更,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-07/516730_20230407_RJCK.pdf
517180.SH,20230407,,南方基金关于旗下部分基金增加华宝证券为申购赎回代理券商的公告,临时报告(基金) 营销活动,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-07/517180_20230407_341C.pdf
562960.SH,20230407,,易方达中证绿色电力交易型开放式指数证券投资基金上市交易公告书,上市(基金) 上市交易公告书,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-07/562960_20230407_AK1T.pdf
562960.SH,20230407,,易方达中证绿色电力交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-07/562960_20230407_YTGP.pdf
562960.SH,20230407,,易方达中证绿色电力交易型开放式指数证券投资基金开放日常申购、赎回业务的公告,基金运作(基金) ETF申购赎回,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-07/562960_20230407_A7HS.pdf
159620.SZ,20230410,,华夏基金管理有限公司关于旗下部分深交所ETF新增东方证券为申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-04-10/1216354693.PDF
159627.SZ,20230410,,华夏基金管理有限公司关于旗下部分深交所ETF新增东方证券为申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-04-10/1216354696.PDF
159685.SZ,20230410,,天弘基金管理有限公司关于天弘中证1000增强策略交易型开放式指数证券投资基金新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-04-10/1216353301.PDF
159791.SZ,20230410,,华夏基金管理有限公司关于旗下部分深交所ETF新增东方证券为申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-04-10/1216354733.PDF
510770.SH,20230410,,申万菱信上证G60战略新兴产业成份交易型开放式指数证券投资基金基金经理变更公告,临时报告(基金) 基金经理相关,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-10/510770_20230410_OTPR.pdf
562530.SH,20230410,,华夏基金管理有限公司关于旗下部分上交所ETF新增东方证券为申购赎回代办证券公司的公告,临时报告(基金) 营销活动,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-10/562530_20230410_U8S3.pdf
510770.SH,20230412,,申万菱信上证G60战略新兴产业成份交易型开放式指数证券投资基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-12/510770_20230412_QRQR.pdf
