fund_code,name,trade_date,prev_trade_date,event_type,event_date,announcement_date,event_keyword,event_title,source_url,share_change,share_change_pct,adjustment_action,review_status,review_note
515050.SH,华夏中证5G通信主题ETF,20260512,20260511,share_split,20260513,20260513,基金份额拆分,华夏基金管理有限公司关于华夏中证5G通信主题交易型开放式指数证券投资基金份额拆分结果及恢复相关业务的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-13/515050_20260513_P4D1.pdf,736213.6928,2.026423924569548,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159305.SZ,广发国证新能源电池ETF,20260520,20260519,share_split,20260521,20260521,基金份额拆分,关于广发国证新能源电池交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-05-21/1225321575.PDF,46232.0151,0.9706080039431294,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512930.SH,平安中证人工智能主题ETF,20260521,20260520,share_split,20260522,20260522,基金份额拆分,平安基金管理有限公司关于平安中证人工智能主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-22/512930_20260522_RO7M.pdf,317239.1032,3.0152073673764552,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159507.SZ,广发国证通信ETF,20260608,20260605,share_split,20260609,20260609,基金份额拆分,关于广发国证通信交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-06-09/1225358702.PDF,40388.726800000004,2.390662840838383,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159546.SZ,国泰中证全指集成电路ETF,20260609,20260608,share_split,20260610,20260610,基金份额拆分,集成电路ETF国泰：国泰基金管理有限公司关于国泰中证全指集成电路交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-10/2eafd59e-c07f-463b-9a24-b122347c99e9.PDF,32661.8548,2.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159667.SZ,国泰中证机床ETF,20260609,20260608,share_split,20260610,20260610,基金份额拆分,国泰基金管理有限公司关于国泰中证机床交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225361557.PDF,175203.38119999997,2.013792835423361,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
561330.SH,国泰中证有色金属矿业主题ETF,20260624,20260623,share_split,20260625,20260625,基金份额拆分,国泰基金管理有限公司关于国泰中证有色金属矿业主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-25/561330_20260625_IWKV.pdf,91569.60299999999,1.0155262177578452,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159881.SZ,国泰中证有色金属ETF,20260625,20260624,share_split,20260626,20260626,基金份额拆分,有色金属ETF国泰：国泰基金管理有限公司关于国泰中证有色金属交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-26/f751af2e-a111-45f3-a3ee-2812464390dd.PDF,8924.9583,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
560780.SH,广发中证半导体材料设备主题ETF,20260625,20260624,share_split,20260626,20260626,基金份额拆分,关于广发中证半导体材料设备主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-26/560780_20260626_99CX.pdf,449199.20000000007,2.169524597004776,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
561980.SH,招商中证半导体产业ETF,20260625,20260624,share_split,20260626,20260626,基金份额拆分,招商基金管理有限公司关于招商中证半导体产业交易型开放式指数证券投资基金基金份额拆分结果及调整最小申购、赎回单位并恢复相关业务的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-26/561980_20260626_4J0A.pdf,560344.0,4.270556584432708,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512480.SH,国联安中证全指半导体产品与设备ETF,20260702,20260701,share_split,20260703,20260703,基金份额拆分,国联安基金管理有限公司关于国联安中证全指半导体产品与设备交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-03/512480_20260703_WPHJ.pdf,867700.36,0.9986189440639661,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515070.SH,华夏中证人工智能主题ETF,20260703,20260702,share_split,20260630,20260630,基金份额拆分,华夏基金管理有限公司关于华夏中证人工智能主题交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-30/515070_20260630_T5SF.pdf,372197.017,1.0089455778200647,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515880.SH,国泰中证全指通信设备ETF,20260703,20260702,share_split,20260630,20260630,基金份额拆分,国泰基金管理有限公司关于国泰中证全指通信设备交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-30/515880_20260630_NHF1.pdf,3331338.6956,0.9810061636908726,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
562590.SH,华夏中证半导体材料设备主题ETF,20260703,20260702,share_split,20260630,20260630,基金份额拆分,华夏基金管理有限公司关于华夏中证半导体材料设备主题交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-30/562590_20260630_ARTL.pdf,469132.60000000003,2.0797991543949608,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
588170.SH,华夏上证科创板半导体材料设备主题ETF,20260703,20260702,share_split,20260630,20260630,基金份额拆分,华夏基金管理有限公司关于华夏上证科创板半导体材料设备主题交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-30/588170_20260630_8IKG.pdf,1402829.7999999998,2.0772972727241763,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159995.SZ,华夏国证半导体芯片ETF,20260706,20260703,share_split,20260707,20260707,基金份额拆分,华夏基金管理有限公司关于华夏国证半导体芯片交易型开放式指数证券投资基金基金份额拆分结果及调整最小申购、赎回单位的公告,https://static.cninfo.com.cn/finalpage/2026-07-07/1225412524.PDF,1113956.3006,0.990045827416131,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
